"Date";"Team";"Player";"Notes"
"2010-04-10";"Kings";"Dominic McGuire";"torn right plantar fascia (DNP)"
"2010-04-10";"Mavericks";"Shawn Marion";"strained left oblique muscle (DNP)"
"2010-04-10";"Pacers";"T.J. Ford";"strained left groin (DNP)"
"2010-04-10";"Pistons";"Rodney Stuckey";"rib injury (DNP)"
"2010-04-10";"Warriors";"Andris Biedrins";"recovering from surgery to repair small tear of abdominal muscle (CBC) / surgery on back (P) (DNP)"
"2010-04-10";"Warriors";"C.J. Watson";"hairline rib fracture (DNP)"
"2010-04-10";"Warriors";"Monta Ellis";"flu (DNP)"
"2010-04-10";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-04-11";"Cavaliers";"Daniel Gibson";"returned to lineup"
"2010-04-11";"Hornets";"Chris Paul";"torn ligament in right middle finger (DNP)"
"2010-04-11";"Hornets";"Predrag Stojakovic / Peja Stojakovic";"lower abdominal strain (DNP)"
"2010-04-11";"Hornets";"Sean Marks";"recovering from surgery on right shoulder (DNP)"
"2010-04-11";"Knicks";"Al Harrington";"recovering from arthroscopic surgery on right shoulder (DNP)"
"2010-04-11";"Knicks";"Jonathan Bender";"fractured finger on left hand (DNP)"
"2010-04-11";"Thunder";"Nenad Krstic";"bruised right knee (DNP)"
"2010-04-11";"Warriors";"Andris Biedrins";"recovering from surgery to repair small tear of abdominal muscle (CBC) / surgery on back (P) (DNP)"
"2010-04-11";"Warriors";"C.J. Watson";"hairline rib fracture (DNP)"
"2010-04-11";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-04-12";"Clippers";"Drew Gooden";"sore right knee (DNP)"
"2010-04-12";"Clippers";"Eric Gordon";"viral infection (DNP)"
"2010-04-12";"Grizzlies";"Marc Gasol";"partially torn neck muscle (DNP)"
"2010-04-12";"Hawks";"Jamal Crawford";"toe injury / rest (DNP)"
"2010-04-12";"Kings";"Dominic McGuire";"torn right plantar fascia (DNP)"
"2010-04-12";"Knicks";"Al Harrington";"recovering from arthroscopic surgery on right shoulder (DNP)"
"2010-04-12";"Knicks";"Jonathan Bender";"fractured finger on left hand (DNP)"
"2010-04-12";"Knicks";"Tracy McGrady";"sore left knee (DNP)"
"2010-04-12";"Lakers";"Kobe Bryant";"right index finger injury (DTD)"
"2010-04-12";"Mavericks";"Caron Butler";"strained right hip flexor (DNP)"
"2010-04-12";"Pacers";"T.J. Ford";"strained left groin (DNP)"
"2010-04-12";"Thunder";"Nenad Krstic";"bruised right knee (DNP)"
"2010-04-13";"Celtics";"Brian Scalabrine";"right shoulder injury (out indefinitely)"
"2010-04-13";"Celtics";"Tony Allen";"ill (DNP)"
"2010-04-13";"Celtics";"Kevin Garnett";"returned to lineup"
"2010-04-13";"Kings";"Dominic McGuire";"torn right plantar fascia (DNP)"
"2010-04-13";"Lakers";"Kobe Bryant";"right index finger injury (DNP)"
"2010-04-13";"Warriors";"Andris Biedrins";"recovering from surgery to repair small tear of abdominal muscle (CBC) / surgery on back (P) (DNP)"
"2010-04-13";"Warriors";"Anthony Morrow";"knee injury (out for season)"
"2010-04-13";"Warriors";"C.J. Watson";"hairline rib fracture (DNP)"
"2010-04-13";"Warriors";"Corey Maggette";"sprained right middle finger (DNP)"
"2010-04-13";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-04-14";"Blazers";"LaMarcus Aldridge";"calf injury (CBC) / stomach illness (P) (DNP)"
"2010-04-14";"Blazers";"Marcus Camby";"rest (DNP)"
"2010-04-14";"Cavaliers";"Danny Green";"sprained right ankle (DNP)"
"2010-04-14";"Cavaliers";"Maurice Williams / Mo Williams";"rest (DNP)"
"2010-04-14";"Celtics";"Paul Pierce";"rest (DNP)"
"2010-04-14";"Celtics";"Ray Allen";"rest (DNP)"
"2010-04-14";"Grizzlies";"Marc Gasol";"partially torn neck muscle (DNP)"
"2010-04-14";"Hawks";"Al Horford";"rest (DNP)"
"2010-04-14";"Hawks";"Joe Johnson";"rest (DNP)"
"2010-04-14";"Hawks";"Josh Smith";"rest (DNP)"
"2010-04-14";"Hawks";"Mike Bibby";"rest (DNP)"
"2010-04-14";"Hornets";"Chris Paul";"torn ligament in right middle finger (DNP)"
"2010-04-14";"Hornets";"Predrag Stojakovic / Peja Stojakovic";"lower abdominal strain (DNP)"
"2010-04-14";"Hornets";"Sean Marks";"recovering from surgery on right shoulder (DNP)"
"2010-04-14";"Jazz";"Carlos Boozer";"strained right oblique muscle (DNP)"
"2010-04-14";"Knicks";"Al Harrington";"recovering from arthroscopic surgery on right shoulder (DNP)"
"2010-04-14";"Knicks";"Jonathan Bender";"fractured finger on left hand (DNP)"
"2010-04-14";"Knicks";"Tracy McGrady";"sore left knee (DNP)"
"2010-04-14";"Lakers";"Kobe Bryant";"right index finger injury (DNP)"
"2010-04-14";"Nets";"Kris Humphries";"sore right elbow (DNP)"
"2010-04-14";"Pacers";"T.J. Ford";"strained left groin (DNP)"
"2010-04-14";"Pistons";"Rodney Stuckey";"rib injury (DNP)"
"2010-04-14";"Rockets";"Shane Battier";"sprained MCL in left knee (DNP)"
"2010-04-14";"Spurs";"Tim Duncan";"rest (DNP)"
"2010-04-14";"Warriors";"Andris Biedrins";"recovering from surgery to repair small tear of abdominal muscle (CBC) / surgery on back (PB) (DNP)recovering from surgery to repair small tear of abdominal muscle (CBC) / surgery on back (P) (DNP)"
"2010-04-14";"Warriors";"C.J. Watson";"hairline rib fracture (DNP)"
"2010-04-14";"Warriors";"Corey Maggette";"sprained fingers (DNP)"
"2010-04-14";"Warriors";"Vladimir Radmanovic";"sore right Achilles tendon (DNP)"
"2010-04-16";"Blazers";"Brandon Roy";"arthroscopic surgery on right knee to repair torn meniscus (out indefinitely)"
"2010-04-17";"Jazz";"Mehmet Okur";"torn left Achilles tendon (out for season)"
"2010-04-18";"Lakers";"Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga";"surgery on left eye (DNP)"
"2010-04-19";"Jazz";"Mehmet Okur";"torn left Achilles tendon (DNP)"
"2010-04-20";"Jazz";"Mehmet Okur";"surgery to repair torn left Achilles tendon (out indefinitely)"
"2010-04-23";"Jazz";"Mehmet Okur";"recovering from surgery to repair torn left Achilles tendon (DNP)"
"2010-04-24";"Lakers";"Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga";"returned to lineup"
"2010-04-25";"Jazz";"Mehmet Okur";"recovering from surgery to repair torn left Achilles tendon (DNP)"
"2010-04-27";"Lakers";"Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga";"recovering from surgery on left eye (DTD)"
"2010-04-28";"Jazz";"Mehmet Okur";"recovering from surgery to repair torn left Achilles tendon (DNP)"
"2010-04-28";"Pistons";"Ben Gordon";"surgery on left ankle to remove bone spurs"
"2010-04-30";"Jazz";"Mehmet Okur";"recovering from surgery to repair torn left Achilles tendon (DNP)"
"2010-05-02";"Jazz";"Mehmet Okur";"recovering from surgery to repair torn left Achilles tendon (DNP)"
"2010-05-04";"Jazz";"Mehmet Okur";"recovering from surgery to repair torn left Achilles tendon (DNP)"
"2010-05-11";"Mavericks";"Erick Dampier";"arthroscopic surgery on left knee to remove debis (out indefinitely)"
"2010-05-13";"Thunder";"Nick Collison";"arthroscopic surgery on right knee (out indefinitely)"
"2010-05-13";"Warriors";"Kelenna Azubuike";"arthroscopic surgery on right knee (out indefinitely)"
"2010-05-17";"Lakers";"Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga";"returned to lineup"
"2010-05-24";"Pacers";"A.J. Price";"fractured patella in left knee (out indefinitely)"
"2010-05-27";"Nuggets";"Chris Andersen";"surgery on right knee to repair partially torn patella tendon"
"2010-06-25";"Celtics";"Avery Bradley";"arthroscopic surgery on left ankle (out indefinitely) (date approximate)"
"2010-06-25";"Wizards";"Andray Blatche";"surgery on right foot to repair broken bone (out indefinitely)"
"2010-07-12";"Celtics";"Kendrick Perkins";"surgery on right knee to repair torn ACL (out indefinitely)"
"2010-07-13";"Nuggets";"Brian Butch";"surgery on left knee to repair torn patella tendon"
"2010-07-23";"Lakers";"Kobe Bryant";"arthroscopic surgery on right knee (out indefinitely)"
"2010-07-27";"Grizzlies";"Greivis Vasquez";"surgery on right ankle to remove bone spur (out indefinitely)"
"2010-07-27";"Timberwolves";"Jonny Flynn / Johnny Flynn";"surgery on left hip (out indefinitely)"
"2010-07-28";"Lakers";"Andrew Bynum";"arthroscopic surgery on right knee to repair torn ligaments (out indefinitely)"
"2010-08-03";"Clippers";"Craig Smith";"arthroscopic surgery on right knee (out indefinitely)"
"2010-08-13";"Mavericks";"Rodrigue Beaubois";"surgery on left foot to repair broken fifth metatarsal (out indefinitely)"
"2010-08-14";"Warriors";"Ekpe Udoh";"surgery on left wrist (out indefinitely)"
"2010-09-21";"Raptors";"Ed Davis (a)";"arthroscopic surgery on right kene to repair torn meniscus (out indefinteily)"
"2010-09-21";"Thunder";"Nenad Krstic";"surgery on right hand to repair broken finger (out indefinitely)"
"2010-09-24";"Bobcats";"Kwame Brown";"sprained left ankle (out indefinitely)"
"2010-09-27";"Knicks";"Eddy Curry";"strained right hamstring (out indefinitely)"
"2010-09-27";"Rockets";"Brad Miller";"sprained left ankle (DTD)"
"2010-09-29";"Magic";"Jason Williams";"arthroscopic surgery on left knee (out indefinitely) (date approximate)"
"2010-10-03";"Bulls";"Carlos Boozer";"fractured bone in right pinky finger (out indefinitely)"
"2010-10-06";"Pistons";"Jonas Jerebko";"torn right Acchilles tendon (out indefinitely)"
"2010-10-06";"Pistons";"Terrico White";"broken fifth metatarsal in right foot (out indefinitely)"
"2010-10-08";"Blazers";"Jeff Pendergraph / Jeff Ayres";"torn ACL in right knee (out indefinitely)"
"2010-10-08";"Nets";"Troy Murphy";"strained lower back (out indefinitely)"
"2010-10-08";"Pistons";"Jonas Jerebko";"surgery to repair torn right Achilles tendon"
"2010-10-08";"Pistons";"Terrico White";"surgery on right foot to repair broken fifth metatarsal"
"2010-10-09";"Nuggets";"Al Harrington";"partially torn plantar fascia in left foot (out indefinitely)"
"2010-10-12";"Bucks";"Darington Hobson";"surgery on left hip (out for season)"
"2010-10-12";"Kings";"Samuel Dalembert";"strained left groin (out indefinitely)"
"2010-10-17";"Bobcats";"Dominic McGuire";"stress fracture in left shin (out indefinitely)"
"2010-10-18";"Warriors";"Louis Amundson / Lou Amundson";"surgery to repair fractured right index finger (out indefinitely)"
"2010-10-19";"Suns";"Josh Childress";"fractured right index finger (out indefinitely)"
"2010-10-22";"Heat";"Mike Miller";"surgery on right hand to repair a broken thumb and ligament damage (out indefinitely)"
"2010-10-25";"Thunder";"Nick Collison";"left knee injury (out indefinitely)"
"2010-10-25";"Timberwolves";"Martell Webster";"surgery on back (out indefinitely)"
"2010-10-26";"Heat";"Mario Chalmers";"sprained ankle (out indefinitely)"
"2010-10-27";"Bucks";"Jon Brockman";"sprained left ankle (DNP)"
"2010-10-27";"Bucks";"Luc Richard Mbah a Moute / Luc Mbah a Moute";"sprained right ankle (DNP)"
"2010-10-28";"Grizzlies";"Zach Randolph";"back injury (DTD)"
"2010-10-28";"Hawks";"Maurice Evans";"right knee inflammation (DTD)"
"2010-10-28";"Spurs";"Matt Bonner";"sprained right ankle (DTD)"
"2010-10-29";"Heat";"Mario Chalmers";"returned to lineup"
"2010-10-29";"Pistons";"Will Bynum";"sore right hamstring (DNP)"
"2010-10-30";"Pistons";"Will Bynum";"sore right hamstring (DNP)"
"2010-11-02";"Pistons";"Richard Hamilton";"sore right foot (DNP)"
"2010-11-02";"Pistons";"Will Bynum";"sore right hamstring (DNP)"
"2010-11-03";"Hawks";"Jamal Crawford";"turf toe (DNP)"
"2010-11-03";"Jazz";"Jeremy Evans";"sprained right wrist (DNP)"
"2010-11-03";"Jazz";"Kyrylo Fesenko";"stomach illness (DNP)"
"2010-11-03";"Nuggets";"Nene / Nene Hilario / Maybyner Hilario";"strained left groin (DNP)"
"2010-11-03";"Pistons";"Richard Hamilton";"sore right foot (DNP)"
"2010-11-03";"Pistons";"Will Bynum";"sore right hamstring (DNP)"
"2010-11-03";"Warriors";"Brandan Wright";"stomach virus (DTD)"
"2010-11-04";"Blazers";"Elliot Williams";"dislocated patella in right knee (surgery, out for season)"
"2010-11-05";"Bucks";"Andrew Bogut";"migraine headache (DNP)"
"2010-11-05";"Hawks";"Marvin Williams";"bone bruise in right knee (DNP)"
"2010-11-05";"Jazz";"Jeremy Evans";"sprained right ankle (DNP)"
"2010-11-05";"Nuggets";"Nene / Nene Hilario / Maybyner Hilario";"strained left groin (DNP)"
"2010-11-06";"Blazers";"Rudy Fernandez";"back injury (DNP)"
"2010-11-06";"Nuggets";"Nene / Nene Hilario / Maybyner Hilario";"strained left groin (DNP)"
"2010-11-06";"Raptors";"Sonny Weems";"ankle injury (DTD)"
"2010-11-07";"Hawks";"Marvin Williams";"bone bruise in right knee (DNP)"
"2010-11-08";"Hawks";"Marvin Williams";"bone bruise in right knee (DNP)"
"2010-11-08";"Magic";"Mickael Pietrus";"DNP"
"2010-11-09";"Bucks";"Carlos Delfino";"strained neck (DNP)"
"2010-11-10";"Bucks";"Carlos Delfino";"strained neck (DNP)"
"2010-11-10";"Clippers";"Chris Kaman";"sprained left ankle (DNP)"
"2010-11-10";"Hawks";"Marvin Williams";"bone bruise in right knee (DNP)"
"2010-11-10";"Raptors";"David Andersen";"flu (DTD)"
"2010-11-10";"Timberwolves";"Wayne Ellington";"thigh injury (DTD)"
"2010-11-10";"Clippers";"Eric Gordon";"sore left shoulder (DNP)"
"2010-11-11";"Celtics";"Jermaine O'Neal";"sore left knee (DNP)"
"2010-11-11";"Rockets";"Yao Ming";"sprained left ankle (DTD)"
"2010-11-11";"Spurs";"James Anderson";"stress fracture in right foot (out indefinitely)"
"2010-11-11";"Warriors";"David Lee";"placed on IL with infection in left elbow"
"2010-11-12";"Warriors";"David Lee";"surgery on left elbow to repair infection"
"2010-11-12";"Clippers";"Randy Foye";"strained left hamstring (DNP)"
"2010-11-13";"Bucks";"Carlos Delfino";"strained neck (DNP)"
"2010-11-13";"Celtics";"Jermaine O'Neal";"sore left knee (DNP)"
"2010-11-13";"Raptors";"Reggie Evans";"flu-like symptoms (DNP)"
"2010-11-14";"Rockets";"Chase Budinger";"sprained left ankle (DNP)"
"2010-11-14";"Timberwolves";"Nikola Pekovic";"sprained left ankle (DNP)"
"2010-11-14";"Timberwolves";"Wayne Ellington";"bruised left thigh (DNP)"
"2010-11-15";"Clippers";"Randy Foye";"strained left hamstring (DNP)"
"2010-11-15";"Jazz";"Raja Bell";"strained left abductor (DNP)"
"2010-11-15";"Timberwolves";"Nikola Pekovic";"left foot injury (DNP)"
"2010-11-15";"Timberwolves";"Wayne Ellington";"bruised left thigh (DNP)"
"2010-11-16";"Blazers";"Brandon Roy";"sore left knee (DNP)"
"2010-11-16";"Bucks";"Carlos Delfino";"strained neck (DNP)"
"2010-11-17";"Clippers";"Randy Foye";"strained left hamstring (DNP)"
"2010-11-17";"Jazz";"Kyrylo Fesenko";"dizziness (DNP)"
"2010-11-17";"Rockets";"Chase Budinger";"sprained left ankle (DNP)"
"2010-11-18";"Blazers";"Brandon Roy";"sore left knee (DNP)"
"2010-11-18";"Magic";"Jason Williams";"foot injury (DTD)"
"2010-11-18";"Suns";"Suns";"strained groin (DNP)"
"2010-11-19";"Blazers";"Greg Oden";"mircofracture surgery on left knee (out for season)"
"2010-11-19";"Bucks";"Carlos Delfino";"strained neck (DNP)"
"2010-11-19";"Heat";"Juwan Howard";"broken nose (DNP)"
"2010-11-19";"Knicks";"Timofey Mozgov";"left calf injury (DNP)"
"2010-11-19";"Warriors";"Brandan Wright";"strained lower back (DNP)"
"2010-11-20";"Blazers";"Brandon Roy";"sore left knee (DNP)"
"2010-11-20";"Bucks";"Carlos Delfino";"strained neck (DNP)"
"2010-11-20";"Suns";"Steve Nash";"strained groin (DNP)"
"2010-11-21";"Wizards";"John Wall (a)";"sprained left foot (DNP)"
"2010-11-22";"Hornets";"Marcus Thornton";"DNP"
"2010-11-22";"Warriors";"Brandan Wright";"strained lower back (DNP)"
"2010-11-23";"Heat";"Udonis Haslem";"surgery on left foot to repair torn ligament (out for season)"
"2010-11-24";"Bucks";"Andrew Bogut";"sore back (DNP)"
"2010-11-24";"Bucks";"Carlos Delfino";"strained neck (DNP)"
"2010-11-24";"Bulls";"Taj Gibson";"right ankle/foot injury (DNP)"
